,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
53,Archbishop,5.2,6,2 oz Gin,1 oz Green Ginger Wine,1 tsp Benedictine,1 Lime,,
54,Arise My Love,7.7,6,Chilled Champagne,1 tsp Green Creme de Menthe,,,,
55,Arthur Tompkins,7.2,12,2 oz Gin,1/2 oz Grand Marnier,2 tsp Lemon juice,1 twist of Lemon peel,,
56,Artillery,6.6,11,1 1/2 tsp Sweet Vermouth,1 1/2 oz Gin,2 dashes Bitters,,,
57,B And B,6.6,50,1/2 oz Brandy,1/2 oz Benedictine,,,,
58,Babbie's Special Cocktail,7.5,4,1 1/2 oz Apricot brandy,1 tsp Gin,1 tblsp Light cream,,,
59,Bacardi Cocktail,6.5,42,1 3/4 oz Bacardi Light rum,1 oz Lime juice,1/2 tsp Sugar syrup,1 dash Grenadine,,
60,Bahama Mama,6.3,174,1/4 oz Coffee liqueur,1/2 oz Dark rum,1/2 oz Coconut liqueur,1/4 oz 151 proof rum,Juice of 1/2 Lemon,4 oz Pineapple juice
61,Balmoral,6.8,8,1 1/2 oz Scotch,1/2 oz Sweet Vermouth,1/2 oz Dry Vermouth,2 dashes Bitters,,
62,Baltimore Bracer,3.7,6,1 oz Brandy,1 oz Anisette,1 Egg white,,,
63,Baltimore Eggnog,6.0,3,1 oz Jamaican Rum,1 oz Brandy,1 oz Madeira,1 whole Egg,1 tsp Powdered sugar,3/4 cup Milk
64,Banana Cow,8.3,13,1 oz Light rum,1 oz Creme de Banane,1 1/2 oz Cream,1 dash Grenadine,1 slice Banana,
65,Banana Daiquiri,5.9,94,1 1/2 oz Light rum,1 tblsp Triple sec,1 Banana,1 1/2 oz Lime juice,1 tsp Sugar,1 Cherry
66,Banana Punch #1,6.3,3,1 1/2 tsp Apricot brandy,2 oz Vodka,Juice of 1/2 Lime,1/2 Banana,2 Mint,
67,Banana Rum Cream,5.0,5,1 1/2 oz Dark rum,1/2 oz Creme de Banane,1 oz Light cream,,,
68,Barbary Coast,6.3,10,1/2 oz Scotch,1/2 oz Gin,1/2 oz Rum,1/2 oz white Creme de Cacao,1/2 oz Light cream,
69,Baron Cocktail,8.4,8,1/2 oz Dry Vermouth,1/2 tsp Sweet Vermouth,1 1/2 tsp Triple sec,1 1/2 oz Gin,1 Lemon,
70,Barrier Breaker,2.0,3,1 1/2 oz Dark rum,1/2 oz Galliano,2 tsp Dark Creme de Cacao,4 oz cold Coffee,crushed Ice,
71,Barton Special,3.8,4,1/2 oz Applejack,1/4 oz Gin,1/4 oz Scotch,,,
72,Basic Bill,4.0,2,1 1/2 oz Añejo rum,1/2 oz Dubonnet Rouge,1/2 oz Grand Marnier,2 dashes Bitters,,
73,Batida Abacaxi,7.0,8,2 oz Cachaca,4 oz Pineapple,1/2 tsp granulated Sugar,1 cup crushed Ice,,
74,Batida Mango,8.5,6,2 oz Cachaca,4 oz Mango,2 tsp granulated Sugar,1 cup crushed Ice,,
75,Batida Morango,7.7,7,2 oz Cachaca,5 very ripe Strawberries,1/2 tsp granulated Sugar,1 cup crushed Ice,,
76,Beachcomber,8.0,8,2 tsp superfine Sugar,1 Lime,2 oz Light rum,1 tsp Maraschino liqueur,1 tsp Cherry brandy,1/2 oz Lime juice
77,Beadlestone Cocktail,3.6,8,1 1/2 oz Dry Vermouth,1 1/2 oz Scotch,,,,
78,Beal's Cocktail,2.5,4,1/2 oz Dry Vermouth,1/2 oz Sweet Vermouth,1 1/2 oz Scotch,,,
79,Beauty Spot Cocktail,6.2,8,1/2 oz Sweet Vermouth,1/2 oz Dry Vermouth,1 oz Gin,1 tsp Orange juice,1 dash Grenadine,
80,Bee Stinger,5.6,9,1 1/2 oz Blackberry brandy,1/2 oz White Creme de Menthe,,,,
81,Belles Of St. Mary's,6.9,10,1 1/2 oz Gin,1 oz Triple sec,1 oz Apricot brandy,2 tsp Lemon juice,,
82,Bengal,7.0,4,1 1/2 oz Brandy,1/2 oz Maraschino liqueur,1/2 oz Triple sec,1 oz Pineapple juice,2 dashes Bitters,
83,Bennett Cocktail,8.5,6,1 1/2 oz Gin,Juice of 1/2 Lime,1/2 tsp Powdered sugar,2 dashes Orange bitters,,
84,Bentley,7.6,5,1 1/2 oz Calvados,1 oz Dubonnet Rouge,1 twist of Lemon peel,,,
85,Bermuda Highball,5.3,3,3/4 oz Brandy,3/4 oz Gin,3/4 oz Dry Vermouth,Twist of Lemon peel,,
86,Bermuda Rose,7.1,8,1 1/2 tsp Apricot brandy,1 1/4 oz Gin,1 1/2 tsp Grenadine,,,
87,Bernardo,7.4,5,2 oz Gin,1/2 oz Triple sec,2 tsp Lemon juice,2 dashes Bitters,1 twist of Lemon peel,
88,Betsy Ross,2.0,1,crushed Ice,2 oz Brandy,1 1/2 oz Tawny port,1/2 tsp Triple sec,,
89,Between The Sheets,6.5,88,1 oz Brandy,1 oz Light rum,1 oz Triple sec,1 oz Lemon juice,,
90,Biffy Cocktail,2.0,1,1 1/2 oz Gin,1 tblsp Swedish Punsch,Juice of 1/2 Lemon,,,
91,Bijou Cocktail,6.8,10,3/4 oz Sweet Vermouth,3/4 oz Gin,3/4 oz Green Chartreuse,1 dash Orange bitters,1 Cherry,
92,Bikini,3.4,23,1 oz Light rum,2 oz Vodka,1/2 oz Milk,1 tsp Sugar,Juice of 1/2 Lemon,Twist of Lemon peel
93,Billy Taylor,7.3,6,2 oz Gin,Juice of 1/2 Lime,,,,
94,Bishop,6.3,6,Juice of 1/4 Lemon,Juice of 1/4 Orange,1 tsp Powdered sugar,,,
95,Bitch-On-Wheels,4.2,6,2 oz Gin,1/2 oz Dry Vermouth,1/2 oz White Creme de Menthe,1 tsp Pernod,,
96,Black Baltimore,4.3,3,2 oz Brandy,1 oz Black Sambuca,1 Egg white,,,
97,Black Devil,6.6,11,1/2 oz Dry Vermouth,2 oz Light rum,1 black Olive,,,
98,Black Hawk,7.8,4,1 1/4 oz Blended whiskey,1 1/4 oz Sloe gin,1 Cherry,,,
99,Blackjack #1,6.3,50,1 1/2 oz Scotch,1 oz Kahlua,1/2 oz Triple sec,1/2 oz Lemon juice,,
100,Black Maria,5.4,7,2 oz Coffee brandy,2 oz Light rum,"4 oz strong, black Coffee",2 tsp Powdered sugar,,
101,Black Monday,1.7,3,1 oz Dark rum,1/2 oz Black Sambuca,1 tsp Cherry brandy,1/2 oz Lemon juice,,
102,Black Pagoda,6.8,12,1 1/2 oz Brandy,1/2 oz Sweet Vermouth,1/2 oz Dry Vermouth,2 tsp Triple sec,,
103,Black Russian,6.2,602,3/4 oz Coffee liqueur,1 1/2 oz Vodka,,,,
104,Black Stripe Cold,4.2,5,2 oz Dark rum,1/2 oz Molasses,1 tsp Honey,1 oz boiling Water,crushed Ice,
105,Black Velvet,6.5,48,5 oz chilled Stout,5 oz chilled Champagne,,,,
106,Blackjack #2,7.0,4,1/2 oz Brandy,1 oz Kirschwasser,1 oz Coffee,,,
107,Blackthorn,5.5,2,1 oz Sweet Vermouth,1 1/2 oz Sloe gin,1 twist of Lemon peel,,,
108,Blarney Stone Cocktail,7.3,3,2 oz Irish whiskey,1/2 tsp Anis,1/2 tsp Triple sec,1/4 tsp Maraschino liqueur,Twist of Orange peel,1 Olive
109,Blimey,5.1,17,2 oz Scotch,1/2 oz Lime juice,1/2 tsp superfine Sugar,,,
110,Blinder,5.3,7,2 oz Scotch,5 oz Grapefruit juice,1 tsp Grenadine,,,
111,Bloodhound Cocktail,7.2,4,1/2 oz Sweet Vermouth,1/2 oz Dry Vermouth,1 oz Gin,3 crushed Strawberries,,
112,Bloody Bull,8.8,21,1 oz Vodka,1/2 glass Tomato juice,1/2 glass Beef bouillon,1 slice Lime,1 Lemon,
113,Bloody Maria,7.8,31,1 oz Tequila,2 oz Tomato juice,1 dash Lemon juice,1 dash Tabasco sauce,1 dash Celery salt,1 slice Lemon
114,Bloody Mary,6.4,860,1 1/2 oz Vodka,3 oz Tomato juice,1 dash Lemon juice,1/2 tsp Worcestershire sauce,2-3 drops Tabasco sauce,1 wedge Lime
115,Blue Cowboy,5.3,15,crushed Ice,1 1/2 oz Gin,1/2 oz Blue Curacao,,,
116,Blue Devil Cocktail,7.4,7,1 oz Gin,Juice of 1/2 Lemon,1 tblsp Maraschino liqueur,1/2 tsp Blue Curacao,,
117,Blue Hawaiian,6.4,5786,1 oz Light rum,2 oz Pineapple juice,1 oz Blue Curacao,1 oz Cream of coconut,1 slice Pineapple,1 Cherry
118,Blue Lagoon,6.4,464,1 oz Vodka,1 oz Blue Curacao,1 Cherry,,,
119,Blue Margarita,5.7,124,1 1/2 oz Tequila,1 oz Blue Curacao,1 oz Lime juice,Coarse Salt,,
120,Blue Mountain,6.0,4,1 1/2 oz Añejo rum,1/2 oz Tia maria,1/2 oz Vodka,1 oz Orange juice,1 tsp Lemon juice,
121,Bluebird,5.6,7,1 1/2 oz Gin,1/2 oz Triple sec,1/2 oz Blue Curacao,2 dashes Bitters,1 Maraschino cherry,1 twist of Lemon peel
122,Bobby Burns Cocktail,6.2,8,1 1/2 oz Sweet Vermouth,1 1/2 oz Scotch,1 1/4 tsp Benedictine,1 twist of Lemon peel,,
123,Bolero,2.0,1,3/4 oz Apple brandy,1 1/2 oz Light rum,1/4 tsp Sweet Vermouth,,,
124,Bombay Cocktail,6.3,6,1/2 oz Dry Vermouth,1/2 oz Sweet Vermouth,1 oz Brandy,1/2 tsp Triple sec,1/4 tsp Anis,
125,Boomerang,7.8,4,2 oz Gin,1/2 oz Dry Vermouth,2 dashes Bitters,1/2 tsp Maraschino liqueur,1 Maraschino cherry,
126,Border Crossing,7.2,30,1 1/2 oz Tequila,2 tsp Lime juice,1 tsp Lemon juice,4 oz Coca-Cola,1 Lime,
127,Bosom Caresser,5.3,3,crushed Ice,1 1/2 oz Brandy,1 oz Madeira,1/2 oz Triple sec,,
128,Boston Cocktail,5.9,7,3/4 oz Gin,3/4 oz Apricot brandy,1 1/2 tsp Grenadine,Juice of 1/4 Lemon,,
129,Boston Sidecar,7.1,20,3/4 oz Light rum,3/4 oz Brandy,3/4 oz Triple sec,Juice of 1/2 Lime,,
130,Boston Sour,7.9,7,2 oz Blended whiskey,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 Egg white,1 slice Lemon,1 Cherry
131,Bourble,5.2,13,2 oz Bourbon,1/2 oz Triple sec,1/2 oz Lemon juice,,,
132,Bourbon and Branch,6.3,2800,2 oz Bourbon,4 oz bottled Water,,,,
133,Bourbon Black Hawk,6.0,5,2 oz Bourbon,1 oz Sloe gin,1 Maraschino cherry,,,
134,Bourbon Black Hawk #2,6.0,2,2 oz Bourbon,1/2 oz Sloe gin,1 oz Lemon juice,1 tsp superfine Sugar,1 Maraschino cherry,
135,Bourbon Cobbler #1,2.5,2,1 1/2 tsp superfine Sugar,3 oz Club soda,1 Maraschino cherry,1 Orange,1 Lemon,2 1/2 oz blended Bourbon
136,Bourbon Cobbler #2,7.0,4,1 tsp superfine Sugar,3 oz Club soda,2 oz Bourbon,,,
137,Bourbon Cooler,6.8,4,2 oz Bourbon,4 oz Lemon-lime soda,1 Lemon,,,
138,Bourbon County Cowboy,6.6,8,2 oz Bourbon,1/2 oz Light cream,,,,
139,Bourbon Daisy,2.0,3,2 oz Bourbon,1 oz Lemon juice,1/2 tsp Grenadine,1/2 tsp superfine Sugar,1 Orange,1 Maraschino cherry
140,Bourbon Fix,2.8,11,1 tsp superfine Sugar,1 oz Lemon juice,2 tsp Water,2 oz Bourbon,1 Maraschino cherry,1 Lemon
141,Bourbon Flip,4.2,4,2 oz Bourbon,1 Egg,1 tsp superfine Sugar,1/2 oz Light cream,1/8 tsp grated Nutmeg,
142,Bourbon Highball,7.1,10,2 oz Bourbon,1 twist of Lemon peel,,,,
143,Bourbon Milk Punch,4.8,6,2 oz Bourbon,3 oz Half-and-half,1 tsp superfine Sugar,1/4 tsp Vanilla extract,1/4 tsp grated Nutmeg,
144,Bourbon Milk Punch #2,5.4,13,1 tsp superfine Sugar,2 oz Bourbon,5 oz Milk,1/4 tsp ground Cinnamon,,
145,Bourbon Milk Punch #3,5.7,3,2 oz Bourbon,1/2 oz Dark Creme de Cacao,5 oz Milk,1/4 tsp grated Nutmeg,,
146,Classic Old-Fashioned,6.8,74,3 dashes Bitters,1 tsp Water,1 Sugar,3 oz Bourbon,1 Orange,1 Maraschino cherry
147,Bourbon Sling,5.2,8,1 tsp superfine Sugar,2 tsp Water,1 oz Lemon juice,2 oz Bourbon,1 twist of Lemon peel,
148,Bourbon Sour,7.5,16,2 oz Bourbon,1 oz Lemon juice,1/2 tsp superfine Sugar,1 Orange,1 Maraschino cherry,
149,Bourbon Swizzle,6.6,5,1 1/2 oz Lime juice,1 tsp superfine Sugar,2 oz Bourbon,1 dash Bitters,crushed Ice,3 oz Club soda
150,Boxcar,4.3,6,1 1/2 oz Gin,1 oz Triple sec,1 tsp Lemon juice,1/2 tsp Grenadine,1 Egg white,
151,Brainstorm,6.3,6,2 oz Scotch,1/2 oz Benedictine,1 tsp Sweet Vermouth,,,
152,Brandied Egg Sour,3.3,7,1 Egg,2 oz Brandy,1/2 oz Triple sec,1 oz Lemon juice,1 tsp superfine Sugar,
153,Brandied Madeira,7.2,4,1 oz Brandy,1/2 oz Dry Vermouth,1 oz Madeira,1 twist of Lemon peel,,
154,Brandy Alexander #2,6.4,262,1 1/2 oz Brandy,1 oz Dark Creme de Cacao,1 oz Half-and-half,1/4 tsp grated Nutmeg,,
155,Brandy Alexander #3,5.7,57,1 1/2 oz Brandy,1 oz white Creme de Cacao,1 oz Heavy cream,1/4 tsp grated Nutmeg,,
156,Brandy And Soda,6.1,16,2 oz Brandy,5 oz Club soda,,,,
157,Brandy Blazer,5.5,4,1 tsp granulated Sugar,2 oz Brandy,1 slice Orange,1 twist of Lemon peel,,
158,Brandy Cobbler,7.3,3,1 tsp superfine Sugar,3 oz Club soda,1 Lemon,2 oz Brandy,1 Maraschino cherry,1 Orange
159,Brandy Cocktail,7.8,4,2 oz Brandy,1/4 tsp Sugar syrup,2 dashes Bitters,1 twist of Lemon peel,,
160,Brandy Collins,7.2,4,Juice of 1/2 Lemon,2 oz Brandy,1 tsp Powdered sugar,1 slice Orange,1 Cherry,
161,Brandy Cooler,5.9,15,2 oz Brandy,4 oz Lemon-lime soda,1 Lemon,,,
162,Brandy Daisy,5.6,5,2 oz Brandy,1 oz Lemon juice,1/2 tsp superfine Sugar,1/2 tsp Grenadine,1 Maraschino cherry,1 Orange
163,Brandy Fix,3.0,2,2 1/2 oz Brandy,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 tsp Water,1 slice Lemon,
164,Brandy Fizz,5.5,8,2 1/2 oz Brandy,1 oz Lemon juice,1 tsp superfine Sugar,4 oz Club soda,,
165,Brandy Flip,8.1,7,2 oz Brandy,1 whole Egg,1 tsp superfine Sugar,1/2 oz Light cream,1/8 tsp grated Nutmeg,
166,Brandy Highball,6.0,4,2 oz Brandy,1 twist of Lemon peel,,,,
167,Brandy Milk Punch,6.5,11,2 oz Brandy,1 cup Milk,1 tsp Powdered sugar,,,
168,Brandy Sangaree,3.0,1,2 oz Brandy,1/2 tsp Powdered sugar,1 tsp Water,1 tblsp Port,,
169,Brandy Sling,4.0,6,1 tsp superfine Sugar,2 tsp Water,1 oz Lemon juice,2 oz Brandy,1 twist of Lemon peel,
170,Brandy Smash,8.0,3,4 fresh Mint,1 tsp superfine Sugar,1 oz Club soda,2 1/2 oz Brandy,1 Orange,1 Maraschino cherry
171,Brandy Sour,8.1,23,2 oz Brandy,Juice of 1/2 Lemon,1/2 tsp Powdered sugar,1/2 slice Lemon,1 Cherry,
172,Brandy Swizzle,6.2,5,1 1/2 oz Lime juice,1 tsp superfine Sugar,2 oz Brandy,1 dash Bitters,crushed Ice,3 oz Club soda
173,Brandy Toddy,3.5,2,2 oz Brandy,1/2 tsp Powdered sugar,1 tsp Water,1 twist of Lemon peel,,
174,Brandy Vermouth Cocktail,6.6,5,1 1/2 oz Sweet Vermouth,2 oz Brandy,1 dash Bitters,,,
175,Brantini,4.8,5,1 1/2 oz Brandy,1 dash Dry Vermouth,1 oz Gin,1 twist of Lemon peel,,
176,Brave Bull,4.9,57,1 1/2 oz Tequila,1 oz Coffee liqueur,Twist of Lemon peel,,,
177,Brazil Cocktail,8.0,4,1 1/2 oz dry Sherry,1 1/2 oz Dry Vermouth,1/4 tsp Anis,1 dash Bitters,,
