A Furlong Too Late,6.6,91,2 oz,Light rum,4 oz,Ginger beer,1 twist,Lemon peel
A Night In Old Mandalay,6.5,94,1 oz,Light rum,1 oz,A?ejo rum,1 oz,Orange juice,1/2 oz,Lemon juice,3 oz,Ginger ale,1 twist,Lemon peel
A. J.,6.5,85,1 1/2 oz,Applejack,1 oz,Grapefruit juice
Abbey Cocktail,7.2,9908,1 1/2 oz,Gin,1 dash,Orange bitters,1/4 Orange,Juice,1,Cherry
Abilene,7.2,332,1 1/2 oz,Dark rum,2 oz,Peach nectar,3 oz,Orange juice
Acapulco,7.1,107,1 1/2 oz,Light rum,1 1/2 tsp,Triple sec,1 tblsp,Lime juice,1 tsp,Sugar,1 Egg,white,1,Mint
Adam,6.7,84,2 oz,Dark rum,1 oz,Lemon juice,1 tsp,Grenadine
Adonis Cocktail,6.4,115,3/4 oz,Sweet Vermouth,1 1/2 oz,dry Sherry,1 dash,Orange bitters
Affair,6.7,97,2 oz,Strawberry schnapps,2 oz,Orange juice,2 oz,Cranberry juice
Affinity,6.5,126,1 1/2 oz,Scotch,1 oz,Sweet Vermouth,1 oz,Dry Vermouth,2 dashes,Orange bitters
After Dinner Cocktail,5.9,137,1 oz,Apricot brandy,1 oz,Triple sec,1 Lime,Juice,1,Lime
After Supper Cocktail,6.5,122,1 oz,Triple sec,1 oz,Apricot brandy,1/2 tsp,Lemon juice
Alabama Slammer,6.5,1006,1 oz,Southern Comfort,1 oz,Amaretto,1/2 oz,Sloe gin,1 dash,Lemon juice
Alaska Cocktail,6.4,108,2 dashes,Orange bitters,1 1/2 oz,Gin,3/4 oz,Yellow Chartreuse,Twist,Lemon peel
Alexander,6.5,105,1/2 oz,Gin,1/2 oz,white Creme de Cacao,2 oz,Light cream
Alexander #2,6.5,117,1 oz,Gin,1 oz,white Creme de Cacao,1 oz,Light cream
Brandy Alexander,6.4,125,1 oz,Brandy,1 oz,white Creme de Cacao,1 oz,Light cream
Alexander's Big Brother,6.4,110,2 oz,Gin,1/2 oz,Blue Curacao,1/2 oz,Heavy cream
Alexander's Sister,6.6,98,1 1/2 oz,Gin,1 oz,Green Creme de Menthe,1 oz,Heavy cream,1/8 tsp,grated Nutmeg
Alfie Cocktail,6.4,114,1 1/2 oz,Lemon vodka,1 dash,Triple sec,1 tblsp,Pineapple juice
Algonquin,6.4,117,1 1/2 oz,Blended whiskey,1 oz,Dry Vermouth,1 oz,Pineapple juice
Allegheny,6.5,86,1 oz,Dry Vermouth,1 oz,Bourbon,1 1/2 tsp,Blackberry brandy,1 1/2 tsp,Lemon juice,1 twist,Lemon peel
Allies Cocktail,6.4,117,1 oz,Dry Vermouth,1 oz,Gin,1/2 tsp,Kummel
Almeria,6.5,92,2 oz,Dark rum,1 oz,Kahlua,1 Egg,white
Almond Joy,5.9,101,1/2 oz,Amaretto,1/2 oz,white Creme de Cacao,2 oz,Light cream
Amaretto And Cream,6.5,90,1 1/2 oz,Amaretto,1 1/2 oz,Light cream
Amaretto Mist,7.6,17,1 1/2 oz,Amaretto,1,Lime
Amaretto Rose,6.3,54,1 1/2 oz,Amaretto,1/2 oz,Lime juice
Amaretto Stinger,5.6,11,1 1/2 oz,Amaretto,3/4 oz,White Creme de Menthe
Amaretto Tea,6.8,10,6 oz,hot Tea,2 oz,Amaretto,Chilled,Whipped cream
Ambrosia,6.3,11,1 oz,Applejack,1 oz,Brandy,1 dash,Triple sec,1 Lemon,Juice,Chilled,Champagne
Amer Picon Cocktail,4.3,3,1 tsp,Grenadine,1 1/2 oz,Amer Picon,1 Lime,Juice
American Beauty,4.1,16,1 oz,Brandy,1/2 oz,Dry Vermouth,1/4 tsp,White Creme de Menthe,1 oz,Orange juice,1 tsp,Grenadine,1/2 oz,Tawny port
Andalusia,6.7,7,1/2 oz,Light rum,1 1/2 oz,dry Sherry,1/2 oz,Brandy
